t;lo;la;a
1998-05-04T08:10:00;  2.5925200; 26.05980000; 519.68600
1998-05-04T08:10:00; -8.7027100; 26.46230000;  91.23300
1998-05-04T08:10:00; -4.2110900; 27.69390000;  51.31010
1998-05-04T08:10:00; -7.4360500; 28.45000000; 116.65000
1998-05-05T07:50:00; 48.3860000;-17.08370000; 878.50500
1998-05-05T07:50:00;-45.9124000;-15.28110000;  58.35930
1998-05-05T07:50:00; 10.0755000; 24.21520000; 168.81600
1998-05-05T07:50:00; 12.7155000; 24.60320000;  93.10460
1998-05-05T07:50:00; 17.3494000; 26.10590000; 812.31400
1998-05-05T07:50:00;  5.7497200; 27.02100000; 983.87400
1998-05-05T07:50:00; 12.9301000; 26.56250000;  29.31010
1998-05-05T07:50:00; 14.6850000; 27.67540000;  27.01780
1998-05-06T07:54:59; 61.5650000;-17.01090000;1096.86000
1998-05-06T07:54:59; 66.2033000;-15.46610000;  67.45960
1998-05-06T07:54:59; 16.6268000; 20.48460000; 367.54900
1998-05-06T07:54:59; 31.7784000; 26.47280000; 828.06600
1998-05-06T07:54:59; 23.9401000; 24.80550000; 170.30000
1998-05-06T07:54:59; 27.8150000; 25.09610000;  63.94920
1998-05-06T07:54:59; 18.5198000; 27.53110000; 964.77800
1998-05-06T07:54:59; 27.5861000; 27.22990000; 125.81100
1998-05-07T08:03:00; 74.7158000;-17.21750000; 307.03500
1998-05-07T08:03:00; 44.7337000; 26.05290000; 592.79400
1998-05-07T08:03:00; 30.9367000; 26.92760000; 579.06600
1998-05-07T08:03:00; 39.0360000; 25.80440000;  26.41070
1998-05-07T08:03:00; 36.7887000; 26.24710000;  35.80590
1998-05-08T07:54:59;-56.8729000;-20.42020000; 399.87800
1998-05-08T07:54:59;-63.4386000;-18.61810000; 195.13100
1998-05-08T07:54:59; -6.4885300;-16.39730000;  68.26110
1998-05-08T07:54:59; 56.8114000; 26.37370000; 675.15300
1998-05-08T07:54:59; 43.1697000; 26.78160000; 293.95600
1998-05-09T07:59:59;-47.6204000;-20.58550000;  21.87890
1998-05-09T07:59:59;-42.8985000;-19.95450000; 283.23100
1998-05-09T07:59:59;-49.6114000;-18.70830000; 532.33400
1998-05-09T07:59:59;  6.4951700;-16.75630000;  54.86290
1998-05-09T07:59:59; 68.5805000; 25.63290000; 612.58000
1998-05-09T07:59:59; 56.4047000; 25.50320000;  84.30100
1998-05-09T07:59:59; 55.0389000; 27.02440000;  58.48800
1998-05-10T08:10:00;-28.9124000;-20.49080000; 162.15000
1998-05-10T08:10:00;-36.7496000;-18.63750000; 279.25300
1998-05-10T08:10:00; 19.8670000;-16.81460000;  30.95170
1998-05-12T08:03:00;-11.1148000;-19.47410000; 631.37700
1998-05-12T08:03:00; -2.3337100;-21.15440000; 140.71900
1998-05-12T08:03:00; 45.9957000;-17.19590000;  61.13350
1998-05-18T11:19:59; 14.0717000; 19.85230000; 262.07700
1998-05-18T11:19:59;  2.7306400; 23.88820000; 173.77100
1998-05-27T08:24:59; 51.1966000; 16.06560000; 206.83600
1998-05-27T08:24:59; 58.5337000; 17.18920000; 390.23100
1998-05-27T08:24:59;-58.6271000; 25.83200000; 507.75500
1998-05-28T07:54:59; 71.8443000; 17.65870000; 311.27800
1998-05-28T07:54:59;-45.6494000; 25.65390000; 538.46700
1998-05-29T07:50:00;-32.9950000; 25.03770000; 490.20400
1998-05-30T07:50:00;-20.9404000; 25.61040000; 186.58300
1998-05-30T07:50:00;-18.4711000; 26.29760000;  80.95060
1998-06-04T07:50:00;-11.5600000;-22.36690000; 189.47100
1998-06-04T07:50:00;-57.3812000;-19.94060000; 502.17600
1998-06-04T07:50:00; -4.2894400;-18.70610000; 152.66900
1998-06-04T07:50:00; 43.8261000; 24.47100000; 358.03600
1998-06-04T07:50:00;-56.7906000; 28.21400000;  92.33570
1998-06-05T07:54:59;  1.5242600;-22.47090000; 101.16300
1998-06-05T07:54:59;-44.2128000;-19.76760000; 369.39200
1998-06-05T07:54:59;  8.7860300;-18.62760000; 115.05700
1998-06-05T07:54:59;-41.1874000;-16.47460000;  16.68500
1998-06-05T07:54:59; 56.2090000; 24.66230000;  61.74490
1998-06-05T07:54:59; 58.9339000; 24.84610000;  43.46790
1998-06-06T08:05:00;-28.2289000;-27.32030000;  18.37010
1998-06-06T08:05:00; 14.3926000;-22.82350000;  95.01180
1998-06-06T08:05:00;-30.9211000;-19.97470000; 388.29600
1998-06-06T08:05:00; 21.8441000;-18.97620000; 183.69500
1998-06-06T08:05:00; -1.3410300; 21.22650000;  17.93770
